MUNICÍPIOS,Latitude,Longitude,lati_formt,long_formt
Passo de Camaragibe,"- 09º 14' 18""","-35º 29' 36""",9.238333333333333,35.49333333333333
Paulo Jacinto,"- 09º 21' 58""","-36º 22' 11""",9.366111111111111,36.36972222222222
Penedo,"- 10º 17' 25""","-36º 35' 11""",10.290277777777778,36.58638888888889
Piaçabuçu,"- 10º 24' 20""","-36º 26' 04""",10.405555555555557,36.43444444444444
Pilar,"- 09º 35' 50""","-35º 57' 24""",9.597222222222223,35.95666666666667
Pindoba,"- 09º 28' 31""","-36º 17' 24""",9.475277777777778,36.29
Piranhas,"- 09º 37' 25""","-37º 45' 24""",9.623611111111112,37.75666666666667
Poço das Trincheiras,"- 09º 18' 45""","-37º 17' 08""",9.3125,37.285555555555554
Porto Calvo,"- 09º 02' 42""","-35º 23' 54""",9.045,35.39833333333333
Porto de Pedras,"- 09º 09' 30""","-35º 17' 42""",9.158333333333333,35.294999999999995
Porto Real do Colégio,"- 10º 11' 09""","-36º 50' 24""",10.185833333333333,36.84
Quebrangulo,"- 09º 19' 08""","-36º 28' 16""",9.318888888888889,36.471111111111114
Rio Largo,"- 09º 28' 42""","-35º 51' 12""",9.478333333333333,35.85333333333333
Roteiro,"- 09º 49' 58""","-35º 58' 40""",9.832777777777778,35.97777777777778
Santa Luzia do Norte,"- 09º 36' 12""","-35º 49' 21""",9.603333333333333,35.822500000000005
Santana do Ipanema,"- 09º 22' 42""","-37º 14' 43""",9.378333333333334,37.24527777777778
Santana do Mundaú,"- 09º 10' 05""","-36º 13' 20""",9.168055555555554,36.22222222222222
São Brás,"- 10º 07' 40""","-36º 54' 02""",10.127777777777778,36.900555555555556
São José da Laje,"- 09º 00' 35""","-36º 03' 30""",9.009722222222223,36.05833333333333
São José da Tapera,"- 09º 33' 30""","-37º 22' 52""",9.558333333333334,37.38111111111111
São Luís do Quitunde,"- 09º 19' 06""","-35º 33' 40""",9.318333333333333,35.56111111111111
São Miguel dos Campos,"- 09º 46' 52""","-36º 05' 37""",9.781111111111112,36.093611111111116
São Miguel dos Milagres,"- 09º 15' 56""","-35º 22' 23""",9.265555555555556,35.37305555555555
São Sebastião,"- 09º 56' 01""","-36º 33' 15""",9.93361111111111,36.55416666666667
Satuba,"- 09º 33' 48""","-35º 49' 28""",9.563333333333334,35.824444444444445
Senador Rui Palmeira,"- 09º 27' 59""","-37º 27' 25""",9.466388888888888,37.456944444444446
Tanque d'Arca,"- 09º 31' 55""","-36º 25' 58""",9.531944444444445,36.43277777777777
Taquarana,"- 09º 38' 42""","-36º 29' 50""",9.645,36.49722222222222
Teotônio Vilela,"- 09º 54' 19""","-36º 21' 10""",9.905277777777778,36.35277777777778
Traipu,"- 09º 58' 14""","-37º 00' 12""",9.970555555555556,37.00333333333333
União dos Palmares,"- 09º 09' 46""","-36º 01' 55""",9.162777777777778,36.03194444444444
Viçosa,"- 09º 22' 17""","-36º 14' 27""",9.37138888888889,36.240833333333335
