state1,state2,distance,estoque
Cajueiro,Anadia,0.3247815030006442,73
Campestre,Anadia,1.1158531102166818,73
Campo Alegre,Anadia,0.1080926814256026,73
Campo Grande,Anadia,0.5588983459548797,73
Canapi,Anadia,1.4166878538720682,73
Capela,Anadia,0.3603527292891954,73
Carneiros,Anadia,1.091892752952696,73
Chã Preta,Anadia,0.4292422623100932,73
Coité do Nóia,Anadia,0.2793687770318165,73
Colônia Leopoldina,Anadia,0.9679465106765268,73
Coqueiro Seco,Anadia,0.5032281592348716,73
Coruripe,Anadia,0.4594777799272908,73
Craíbas,Anadia,0.4686153921954287,73
Delmiro Gouveia,Anadia,1.720622666685265,73
Dois Riachos,Anadia,0.8482139004918859,73
Estrela de Alagoas,Anadia,0.5425108805872503,73
Feira Grande,Anadia,0.4312328901597784,73
Feliz Deserto,Anadia,0.6075031118144149,73
Flexeiras,Anadia,0.7148375128328724,73
Girau do Ponciano,Anadia,0.5614466818347132,73
Ibateguara,Anadia,0.7999294914916116,73
Igaci,Anadia,0.3609569115217307,73
Igreja Nova,Anadia,0.5677490343887774,73
Inhapi,Anadia,1.5168520694574272,73
Jacaré dos Homens,Anadia,0.9018816064754654,73
Jacuípe,Anadia,1.1928502604380653,73
Japaratinga,Anadia,1.2037922652605944,73
Jaramataia,Anadia,0.6982254844679456,73
Jequiá da Praia,Anadia,0.4289947516154268,73
Joaquim Gomes,Anadia,0.7827350453599019,73
Jundiá,Anadia,1.046802192511514,73
Junqueiro,Anadia,0.2957535103576731,73
Lagoa da Canoa,Anadia,0.4573010260157545,73
Limoeiro de Anadia,Anadia,0.20638515025775,73
Maceió,Anadia,0.5691932372736177,73
Major Isidoro,Anadia,0.6976429120374174,73
Mar Vermelho,Anadia,0.2513563514854927,73
Maragogi,Anadia,1.2735326826694138,73
Maravilha,Anadia,1.138098675721492,73
Marechal Deodoro,Anadia,0.4099813681403339,73
Maribondo,Anadia,0.1072279791200645,73
Mata Grande,Anadia,1.536479310905135,73
Matriz de Camaragibe,Anadia,0.9370358521804854,73
Messias,Anadia,0.5518823708314726,73
Minador do Negrão,Anadia,0.6767495045992373,73
Monteirópolis,Anadia,0.9476920063443032,73
Murici,Anadia,0.522414341138491,73
Novo Lino,Anadia,1.0121022690847097,73
Olho d'Água das Flores,Anadia,1.0007761262831296,73
Olho d'Água do Casado,Anadia,1.5405701305557322,73
Olho d'Água Grande,Anadia,0.6343888013155423,73
Olivença,Anadia,0.9017682389561824,73
Ouro Branco,Anadia,1.172966358068508,73
Palestina,Anadia,1.025076216678551,73
Palmeira dos Índios,Anadia,0.4259068031133927,73
Pão de Açúcar,Anadia,1.1343006832949722,73
Pariconha,Anadia,1.754487192498699,73
Paripueira,Anadia,0.7838444451532066,73
Passo de Camaragibe,Anadia,0.9254543845599518,73
Paulo Jacinto,Anadia,0.3250132950746917,73
Penedo,Anadia,0.6683437816676591,73
Piaçabuçu,Anadia,0.73278478010301,73
Pilar,Anadia,0.3582791733402602,73
Pindoba,Anadia,0.2096458654228336,73
Piranhas,Anadia,1.4537733469989214,73
Poço das Trincheiras,Anadia,1.0495078946761909,73
Porto Calvo,Anadia,1.1087935900376784,73
Porto de Pedras,Anadia,1.138073047895298,73
Porto Real do Colégio,Anadia,0.7338311651956098,73
Quebrangulo,Anadia,0.4018722579731023,73
Rio Largo,Anadia,0.4957141157642215,73
Roteiro,Anadia,0.3585142738691155,73
Santa Luzia do Norte,Anadia,0.4884483494940408,73
Santana do Ipanema,Anadia,0.9896434387204676,73
Santana do Mundaú,Anadia,0.5228502429407601,73
São Brás,Anadia,0.7431178582395772,73
São José da Laje,Anadia,0.7181114850343718,73
São José da Tapera,Anadia,1.0843031627572748,73
São Luís do Quitunde,Anadia,0.8283531277909147,73
São Miguel dos Campos,Anadia,0.2316853176611509,73
São Miguel dos Milagres,Anadia,1.020997454682989,73
São Sebastião,Anadia,0.3529646268080942,73
Satuba,Anadia,0.4947740006592853,73
Senador Rui Palmeira,Anadia,1.1732198558867457,73
Tanque d'Arca,Anadia,0.199492024655708,73
Taquarana,Anadia,0.1970439334980757,73
Teotônio Vilela,Anadia,0.2261203246826082,73
Traipu,Anadia,0.7554426488351103,73
União dos Palmares,Anadia,0.5884225092420562,73
Viçosa,Anadia,0.3193977018942193,73
Água Branca,Arapiraca,1.3665142191397448,75
Anadia,Arapiraca,0.3633743181097533,75
Arapiraca,Arapiraca,0.0,0
Atalaia,Arapiraca,0.685745966713768,75
Barra de Santo Antônio,Arapiraca,1.2051593050784934,75
Barra de São Miguel,Arapiraca,0.7583978910249667,75
Batalha,Arapiraca,0.4695941575866497,75
Belém,Arapiraca,0.2478414529542338,75
Belo Monte,Arapiraca,0.6235175628918312,75
Boca da Mata,Arapiraca,0.4546203985635936,75
Branquinha,Arapiraca,0.8210318898785433,75
Cacimbinhas,Arapiraca,0.4820904357810944,75
Cajueiro,Arapiraca,0.6198174014265088,75
Campestre,Arapiraca,1.4201460812097109,75
Campo Alegre,Arapiraca,0.3116717418877787,75
Campo Grande,Arapiraca,0.2432770419414861,75
Canapi,Arapiraca,1.1356148060210924,75
Capela,Arapiraca,0.6813084837281843,75
Carneiros,Arapiraca,0.7653202750853985,75
Chã Preta,Arapiraca,0.616810293584345,75
Coité do Nóia,Arapiraca,0.1458526442240875,75
Colônia Leopoldina,Arapiraca,1.2601522602986512,75
Coqueiro Seco,Arapiraca,0.8656173312714671,75
Coruripe,Arapiraca,0.6123190712869584,75
Craíbas,Arapiraca,0.1717918008506447,75
Delmiro Gouveia,Arapiraca,1.3866534510143036,75
Dois Riachos,Arapiraca,0.5680769487957495,75
Estrela de Alagoas,Arapiraca,0.3754782958005473,75
Feira Grande,Arapiraca,0.1486837828545875,75
Feliz Deserto,Arapiraca,0.6457749674940791,75
Flexeiras,Arapiraca,1.0406315227059877,75
Girau do Ponciano,Arapiraca,0.2132732843727978,75
Ibateguara,Arapiraca,1.0626395333215226,75
Igaci,Arapiraca,0.21730266342331,75
Igreja Nova,Arapiraca,0.3727787092222209,75
Inhapi,Arapiraca,1.2102624766329309,75
Jacaré dos Homens,Arapiraca,0.5560476986822956,75
Jacuípe,Arapiraca,1.5074101175014305,75
Japaratinga,Arapiraca,1.55206406276876,75
Jaramataia,Arapiraca,0.3533082188838322,75
Jequiá da Praia,Arapiraca,0.6834627813252122,75
Joaquim Gomes,Arapiraca,1.1029644748204936,75
Jundiá,Arapiraca,1.360667756591284,75
Junqueiro,Arapiraca,0.2533377497178448,75
Lagoa da Canoa,Arapiraca,0.1088165859725249,75
Limoeiro de Anadia,Arapiraca,0.1587832302150648,75
Maceió,Arapiraca,0.9298808914168608,75
Major Isidoro,Arapiraca,0.3916967088557084,75
Mar Vermelho,Arapiraca,0.4093706589629433,75
Maragogi,Arapiraca,1.6179039270871247,75
Maravilha,Arapiraca,0.8612778064460636,75
Marechal Deodoro,Arapiraca,0.7672737129716355,75
Maribondo,Arapiraca,0.3966606364309791,75
Mata Grande,Arapiraca,1.245192359575695,75
Matriz de Camaragibe,Arapiraca,1.2778432652300638,75
Messias,Arapiraca,0.8987620515512653,75
Minador do Negrão,Arapiraca,0.4913910872383469,75
Monteirópolis,Arapiraca,0.6060088135487525,75
Murici,Arapiraca,0.844968815627371,75
Novo Lino,Arapiraca,1.3154861386058738,75
Olho d'Água das Flores,Arapiraca,0.6687539661818442,75
Olho d'Água do Casado,Arapiraca,1.1992438461251929,75
Olho d'Água Grande,Arapiraca,0.3431203267688708,75
Olivença,Arapiraca,0.5788051762888544,75
Ouro Branco,Arapiraca,0.9093944277972266,75
Palestina,Arapiraca,0.6728948081531867,75
Palmeira dos Índios,Arapiraca,0.3469098594985216,75
Pão de Açúcar,Arapiraca,0.7755667481681943,75
Pariconha,Arapiraca,1.4335316938540088,75
Paripueira,Arapiraca,1.146090408872115,75
