state1,state2,distance,estoque
Delaware,Arkansas,849908.4786051967,17
Florida,Arkansas,117935.14204850054,17
Georgia,Arkansas,92775.45757903864,17
Hawaii,Arkansas,655772.6487449748,17
Idaho,Arkansas,815316.3613040033,17
Illinois,Arkansas,60858.88564540103,17
Indiana,Arkansas,79348.54829169845,17
Iowa,Arkansas,834027.4407170305,17
Kansas,Arkansas,69438.281120719,17
Kentucky,Arkansas,76132.18311594643,17
Louisiana,Arkansas,38507.91821171329,17
Maine,Arkansas,254552.7470937998,17
Maryland,Arkansas,347167.17151539546,17
Massachusetts,Arkansas,219095.7202069452,17
Michigan,Arkansas,117818.49098083032,17
Minnesota,Arkansas,115382.46959568858,17
Mississippi,Arkansas,35148.10065992187,17
Missouri,Arkansas,832688.3278922553,17
Montana,Arkansas,210560.92127932952,17
Nebraska,Arkansas,99096.91834260034,17
Nevada,Arkansas,245918.37710305423,17
New Hampshire,Arkansas,226364.36979789907,17
New Jersey,Arkansas,185424.63203415016,17
New Mexico,Arkansas,136786.61370543536,17
New York,Arkansas,187378.7313544416,17
North Carolina,Arkansas,130716.68815419094,17
North Dakota,Arkansas,149008.0576948777,17
Ohio,Arkansas,110534.72258525823,17
Oklahoma,Arkansas,50992.97686936898,17
Oregon,Arkansas,295332.113142137,17
Pennsylvania,Arkansas,158186.37599047524,17
Rhode Island,Arkansas,219600.24014558815,17
South Carolina,Arkansas,115874.53044133556,17
South Dakota,Arkansas,123206.34559145076,17
Tennessee,Arkansas,318952.11966845434,17
Texas,Arkansas,76900.07644339504,17
Utah,Arkansas,197273.29879636524,17
Vermont,Arkansas,218013.90053159453,17
Virginia,Arkansas,138406.28977759645,17
Washington,Arkansas,306631.3334608843,17
West Virginia,Arkansas,123996.2880170209,17
Wisconsin,Arkansas,100338.3189514355,17
Wyoming,Arkansas,171438.20390158083,17
Alabama,California,329367.53557386313,20
Alaska,California,424166.8536460623,20
Arizona,California,83338.51597550798,20
Arkansas,California,271238.6777526391,20
California,California,0.0,0
Colorado,California,140393.67751077682,20
Connecticut,California,469524.938435649,20
Delaware,California,1119336.623856291,20
Florida,California,379952.2429161328,20
Georgia,California,363122.5610947356,20
Hawaii,California,405861.05883294594,20
Idaho,California,1082458.1234916204,20
Illinois,California,304076.7109414991,20
Indiana,California,332984.6822317807,20
Iowa,California,1102285.6381628131,20
Kansas,California,211298.22734703668,20
Kentucky,California,341692.98743316345,20
Louisiana,California,281451.66741023224,20
Maine,California,508894.1158433648,20
Maryland,California,541196.512521099,20
Massachusetts,California,479307.8570125885,20
Michigan,California,348043.90055278945,20
Minnesota,California,267579.9181646485,20
Mississippi,California,301318.6550033038,20
Missouri,California,1102300.3602779962,20
Montana,California,139334.8713172693,20
Nebraska,California,201504.50464939984,20
Nevada,California,35576.23026685093,20
New Hampshire,California,483271.3156406037,20
New Jersey,California,448975.82716667495,20
New Mexico,California,136426.23574664808,20
New York,California,443199.6288276875,20
North Carolina,California,401149.6471605079,20
North Dakota,California,215993.37251175093,20
Ohio,California,368068.5622570882,20
Oklahoma,California,220331.2218297716,20
Oregon,California,68367.40300757372,20
Pennsylvania,California,418334.1410881976,20
Rhode Island,California,481235.16724882025,20
South Carolina,California,387113.20748328906,20
South Dakota,California,205673.3086547693,20
Tennessee,California,471775.4283236888,20
Texas,California,209318.17530257616,20
Utah,California,80826.6159442544,20
Vermont,California,473074.3505623614,20
Virginia,California,406173.01382169646,20
Washington,California,102452.47874502598,20
West Virginia,California,388742.0617646102,20
Wisconsin,California,304000.2757054671,20
Wyoming,California,132598.2477712281,20
Alabama,Colorado,197247.4946989188,23
Alaska,Colorado,530311.2640563088,23
Arizona,Colorado,77243.94707677748,23
Arkansas,Colorado,137325.9475117503,23
California,Colorado,140393.67751077682,23
Colorado,Colorado,0.0,0
Connecticut,Colorado,329252.8314745372,23
Delaware,Colorado,979973.00294702,23
Florida,Colorado,253177.9398960344,23
Georgia,Colorado,230007.5628169648,23
Hawaii,Colorado,541583.8283276191,23
